channel,hour,reason_codes,n
pm10,11,data_loss,6
pm10,11,out_of_range,367
pm10,11,single_spike,260
pm10,12,data_loss,18
pm10,12,gradual_drift,5
pm10,12,out_of_range,275
pm10,12,single_spike,257
pm10,13,data_loss,3
pm10,13,gradual_drift,4
pm10,13,out_of_range,219
pm10,13,single_spike,265
pm10,14,gradual_drift,1
pm10,14,out_of_range,133
pm10,14,single_spike,260
pm10,15,data_loss,7
pm10,15,gradual_drift,9
pm10,15,out_of_range,134
pm10,15,single_spike,260
pm10,16,data_loss,10
pm10,16,gradual_drift,3
pm10,16,out_of_range,123
pm10,16,single_spike,302
pm10,17,gradual_drift,4
pm10,17,out_of_range,133
pm10,17,single_spike,256
pm10,18,gradual_drift,18
pm10,18,out_of_range,283
pm10,18,single_spike,309
pm10,19,data_loss,8
pm10,19,gradual_drift,9
pm10,19,out_of_range,488
pm10,19,single_spike,260
pm10,20,data_loss,6
pm10,20,gradual_drift,75
pm10,20,out_of_range,536
pm10,20,single_spike,296
pm10,21,data_loss,9
pm10,21,gradual_drift,23
pm10,21,out_of_range,271
pm10,21,single_spike,267
pm10,22,out_of_range,240
pm10,22,single_spike,208
pm10,23,data_loss,32
pm10,23,out_of_range,260
pm10,23,single_spike,214
pm2_5,0,data_loss,120
pm2_5,0,out_of_range,360
pm2_5,0,single_spike,194
pm2_5,1,data_loss,162
pm2_5,1,gradual_drift,2
pm2_5,1,out_of_range,387
pm2_5,1,single_spike,208
pm2_5,2,data_loss,162
pm2_5,2,out_of_range,367
pm2_5,2,single_spike,183
pm2_5,3,data_loss,4
pm2_5,3,out_of_range,360
pm2_5,3,single_spike,202
pm2_5,4,out_of_range,365
pm2_5,4,single_spike,203
pm2_5,5,gradual_drift,3
pm2_5,5,out_of_range,365
pm2_5,5,single_spike,235
pm2_5,6,gradual_drift,13
pm2_5,6,out_of_range,360
pm2_5,6,single_spike,250
pm2_5,7,data_loss,25
pm2_5,7,gradual_drift,70
pm2_5,7,out_of_range,305
pm2_5,7,single_spike,296
pm2_5,8,data_loss,22
pm2_5,8,gradual_drift,31
pm2_5,8,out_of_range,264
pm2_5,8,single_spike,291
pm2_5,9,data_loss,9
pm2_5,9,gradual_drift,31
pm2_5,9,out_of_range,336
pm2_5,9,single_spike,248
pm2_5,10,gradual_drift,25
pm2_5,10,out_of_range,383
pm2_5,10,single_spike,264
