split_method,dataset_split,window_size,mad_multiplier,n_scenarios,n_predictions,single_spike_precision,single_spike_recall,single_spike_f1,single_spike_fpr,genuine_event_preservation_rate,s_old,s_new
structural,calibration,11,1.0,4,160,0.05405405405405406,1.0,0.10256410256410257,0.22151898734177214,0.95,0.9094936708860759,0.5262820512820513
structural,calibration,11,1.5,4,160,0.125,1.0,0.2222222222222222,0.08860759493670886,1.0,0.9704641350210971,0.6111111111111112
structural,calibration,11,2.0,4,160,0.15384615384615385,1.0,0.2666666666666667,0.06962025316455696,1.0,0.9767932489451477,0.6333333333333333
structural,calibration,11,2.5,4,160,0.15384615384615385,1.0,0.2666666666666667,0.06962025316455696,1.0,0.9767932489451477,0.6333333333333333
structural,calibration,11,3.0,4,160,0.18181818181818182,1.0,0.3076923076923077,0.056962025316455694,1.0,0.9810126582278481,0.6538461538461539
structural,calibration,11,3.5,4,160,0.18181818181818182,1.0,0.3076923076923077,0.056962025316455694,1.0,0.9810126582278481,0.6538461538461539
structural,calibration,11,4.0,4,160,0.18181818181818182,1.0,0.3076923076923077,0.056962025316455694,1.0,0.9810126582278481,0.6538461538461539
structural,calibration,11,4.5,4,160,0.18181818181818182,1.0,0.3076923076923077,0.056962025316455694,1.0,0.9810126582278481,0.6538461538461539
structural,calibration,11,5.0,4,160,0.25,1.0,0.4,0.0379746835443038,1.0,0.9873417721518987,0.7
seeded_group,calibration,11,1.0,6,240,0.08888888888888889,1.0,0.163265306122449,0.17372881355932204,0.95,0.9254237288135593,0.5566326530612244
seeded_group,calibration,11,1.5,6,240,0.2,1.0,0.33333333333333337,0.06779661016949153,1.0,0.9774011299435029,0.6666666666666667
seeded_group,calibration,11,2.0,6,240,0.25,1.0,0.4,0.05084745762711865,1.0,0.9830508474576272,0.7
seeded_group,calibration,11,2.5,6,240,0.25,1.0,0.4,0.05084745762711865,1.0,0.9830508474576272,0.7
seeded_group,calibration,11,3.0,6,240,0.3333333333333333,1.0,0.5,0.03389830508474576,1.0,0.9887005649717514,0.75
seeded_group,calibration,11,3.5,6,240,0.3333333333333333,1.0,0.5,0.03389830508474576,1.0,0.9887005649717514,0.75
seeded_group,calibration,11,4.0,6,240,0.3333333333333333,1.0,0.5,0.03389830508474576,1.0,0.9887005649717514,0.75
seeded_group,calibration,11,4.5,6,240,0.3333333333333333,1.0,0.5,0.03389830508474576,1.0,0.9887005649717514,0.75
seeded_group,calibration,11,5.0,6,240,0.4444444444444444,1.0,0.6153846153846153,0.0211864406779661,1.0,0.9929378531073446,0.8076923076923077
