method_a,method_b,n_days,n_reps,point_diff_transitions_per_day,ci_low,ci_high,significant_at_95
PROPOSED_HFIS,CRISP_CLASS_MAX,60,10000,-0.5,-0.9499999999999993,-0.13333333333333286,True
PROPOSED_HFIS,FUZZY_COMPONENT_MAX,60,10000,-0.4666666666666668,-0.8833333333333329,-0.11666666666666714,True
PROPOSED_HFIS,WEIGHTED_MEAN,60,10000,2.1999999999999993,0.7166666666666668,3.716666666666667,True
