method,scope,n_valid_updates,n_days,n_consecutive_pairs,n_gap_excluded_pairs,n_class_transitions,transitions_per_day,transitions_per_100_valid_updates,n_adjacent_transitions,n_nonadjacent_transitions,n_aba_reversal_opportunities,n_aba_reversals,reversals_per_day,n_dwell_runs,median_dwell_minutes,p5_dwell_minutes,p95_dwell_minutes
CRISP_CLASS_MAX,all,16417,60,16390,26,735,12.25,4.477066455503442,437,298,16365,108,1.8,762,20.0,0.0,469.74999999999966
CRISP_CLASS_MAX,completeness_ok_only,15242,59,15089,152,345,5.8474576271186445,2.26348248261383,338,7,14953,14,0.23728813559322035,498,57.5,0.0,593.2499999999987
FUZZY_COMPONENT_MAX,all,16417,60,16390,26,733,12.216666666666667,4.4648839617469696,435,298,16365,106,1.7666666666666666,760,20.0,0.0,470.0
FUZZY_COMPONENT_MAX,completeness_ok_only,15242,59,15089,152,345,5.8474576271186445,2.26348248261383,338,7,14953,13,0.22033898305084745,498,60.0,0.0,593.2499999999987
PROPOSED_HFIS,all,16246,60,16211,34,705,11.75,4.339529730395174,426,279,16178,101,1.6833333333333333,740,25.0,0.0,470.49999999999955
PROPOSED_HFIS,completeness_ok_only,15242,59,15089,152,345,5.8474576271186445,2.26348248261383,338,7,14953,13,0.22033898305084745,498,60.0,0.0,593.2499999999987
WEIGHTED_MEAN,all,16417,60,16390,26,573,9.55,3.4902844612292134,564,9,16365,90,1.5,600,20.0,0.0,575.2499999999998
WEIGHTED_MEAN,completeness_ok_only,15242,59,15089,152,232,3.9322033898305087,1.5221099593229235,232,0,14953,15,0.2542372881355932,385,50.0,0.0,827.9999999999984
