method,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
CRISP_CLASS_MAX,30,900,142,0.15777777777777777,0.1354223977790907,0.18304225354919512,3.9444444444444446,0.0,25.0,25.0,900,52,90,0.057777777777777775,0.1,0.0443303480191595,0.07498436376219687,0.0820680651050478,0.12133217670723434
FUZZY_COMPONENT_MAX,30,900,135,0.15,0.12816108633909595,0.1748141252466509,3.5248621277808385,0.0,16.22473502320391,25.021157498288957,900,63,72,0.07,0.08,0.055093386376116854,0.08856187357208645,0.06400848708439943,0.0995617668184968
PROPOSED_HFIS,30,900,135,0.15,0.12816108633909595,0.1748141252466509,3.5233936840226137,0.0,16.22473502320391,25.021157498288957,900,63,72,0.07,0.08,0.055093386376116854,0.08856187357208645,0.06400848708439943,0.0995617668184968
WEIGHTED_MEAN,30,900,23,0.025555555555555557,0.017088318326020004,0.03805585737910354,2.074269878114691,0.0,8.914219224261382,21.680594380897748,900,10,13,0.011111111111111112,0.014444444444444444,0.006046304227161616,0.020331769098961016,0.008460497055357964,0.02455590758899564
