computed_ts,proposed_status,proposed_index_value,proposed_index_class,crisp_max_index_value,crisp_max_index_class,crisp_class_max_index_value,crisp_class_max_index_class,weighted_mean_index_value,weighted_mean_index_class
2026-07-15 03:05:00+03:00,PARTIAL,12.444029850746269,Favorable,12.444029850746269,Favorable,12.5,Favorable,12.444029850746269,Favorable
2026-07-15 03:10:00+03:00,PARTIAL,12.444029850746269,Favorable,12.444029850746269,Favorable,12.5,Favorable,12.444029850746269,Favorable
2026-07-15 03:15:00+03:00,PARTIAL,12.444029850746269,Favorable,12.444029850746269,Favorable,12.5,Favorable,12.444029850746269,Favorable
2026-07-15 03:20:00+03:00,PARTIAL,12.444029850746269,Favorable,12.444029850746269,Favorable,12.5,Favorable,12.444029850746269,Favorable
2026-07-15 03:25:00+03:00,PARTIAL,12.444029850746269,Favorable,12.444029850746269,Favorable,12.5,Favorable,12.444029850746269,Favorable
2026-07-15 03:30:00+03:00,PARTIAL,13.03474872482593,Favorable,13.03474872482593,Favorable,12.5,Favorable,12.7393892877861,Favorable
2026-07-15 03:35:00+03:00,PARTIAL,13.562427556433054,Favorable,13.562427556433054,Favorable,12.5,Favorable,13.003228703589661,Favorable
2026-07-15 03:40:00+03:00,PARTIAL,13.369674351684273,Favorable,13.369674351684273,Favorable,12.5,Favorable,12.906852101215271,Favorable
2026-07-15 03:45:00+03:00,PARTIAL,12.827906187805484,Favorable,12.827906187805484,Favorable,12.5,Favorable,12.635968019275875,Favorable
2026-07-15 03:50:00+03:00,PARTIAL,12.75962214390601,Favorable,12.75962214390601,Favorable,12.5,Favorable,12.601825997326138,Favorable
2026-07-15 03:55:00+03:00,PARTIAL,12.642906209763916,Favorable,12.642906209763916,Favorable,12.5,Favorable,12.543468030255092,Favorable
2026-07-15 04:00:00+03:00,PARTIAL,12.797863772888302,Favorable,12.797863772888302,Favorable,12.5,Favorable,12.620946811817285,Favorable
2026-07-15 04:05:00+03:00,PARTIAL,12.911524404731106,Favorable,12.911524404731106,Favorable,12.5,Favorable,12.677777127738686,Favorable
2026-07-15 04:10:00+03:00,PARTIAL,13.890899147479335,Favorable,13.890899147479335,Favorable,12.5,Favorable,13.167464499112802,Favorable
2026-07-15 04:15:00+03:00,PARTIAL,13.737859043564072,Favorable,13.737859043564072,Favorable,12.5,Favorable,13.09094444715517,Favorable
2026-07-15 04:20:00+03:00,PARTIAL,13.237563153787715,Favorable,13.237563153787715,Favorable,12.5,Favorable,12.840796502266992,Favorable
2026-07-15 04:25:00+03:00,PARTIAL,13.668794506686487,Favorable,13.668794506686487,Favorable,12.5,Favorable,13.056412178716378,Favorable
2026-07-15 04:30:00+03:00,PARTIAL,14.244898900700878,Favorable,14.244898900700878,Favorable,12.5,Favorable,13.344464375723573,Favorable
2026-07-15 04:35:00+03:00,PARTIAL,15.655631756329552,Favorable,15.655631756329552,Favorable,12.5,Favorable,14.04983080353791,Favorable
2026-07-15 04:40:00+03:00,PARTIAL,15.287530247259419,Favorable,15.287530247259419,Favorable,12.5,Favorable,13.865780049002844,Favorable
2026-07-15 04:45:00+03:00,PARTIAL,14.730874836953525,Favorable,14.730874836953525,Favorable,12.5,Favorable,13.587452343849897,Favorable
2026-07-15 04:50:00+03:00,PARTIAL,15.052399599822856,Favorable,15.052399599822856,Favorable,12.5,Favorable,13.748214725284562,Favorable
2026-07-15 04:55:00+03:00,PARTIAL,15.186649707762417,Favorable,15.186649707762417,Favorable,12.5,Favorable,13.815339779254343,Favorable
2026-07-15 05:00:00+03:00,PARTIAL,15.324570038766383,Favorable,15.324570038766383,Favorable,12.5,Favorable,13.884299944756325,Favorable
2026-07-15 05:05:00+03:00,PARTIAL,15.03498027122075,Favorable,15.03498027122075,Favorable,12.5,Favorable,13.73950506098351,Favorable
2026-07-15 05:10:00+03:00,PARTIAL,14.40022206697856,Favorable,14.40022206697856,Favorable,12.5,Favorable,13.422125958862415,Favorable
2026-07-15 05:15:00+03:00,PARTIAL,14.17489174111701,Favorable,14.17489174111701,Favorable,12.5,Favorable,13.309460795931638,Favorable
