sample_id,method,trial_index,trial_class,trial_index_value,changed_from_baseline,abs_index_change
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,15,Acceptable,37.5,True,20.693373336059935
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,16,Acceptable,37.5,True,20.693373336059935
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,17,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,18,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,19,Acceptable,32.859362789017965,True,16.0527361250779
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,20,Acceptable,28.31474859277354,True,11.508121928833475
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,21,Favorable,12.82808031326901,False,3.9785463506710546
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,22,Acceptable,36.772940413866266,True,19.9663137499262
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,23,Favorable,24.1664919028023,False,7.359865238862234
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,24,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,25,Favorable,16.899907228816094,False,0.09328056487602865
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,26,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,27,Acceptable,37.5,True,20.693373336059935
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,28,Acceptable,36.34197695998776,True,19.535350296047696
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,29,Acceptable,25.64233878211705,True,8.835712118176986
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,0,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,1,Favorable,15.42081854330528,False,1.3858081206347848
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,2,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,3,Favorable,23.991936049022364,False,7.185309385082299
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,4,Acceptable,27.767620827753564,True,10.9609941638135
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,5,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,6,Acceptable,27.542376063556585,True,10.73574939961652
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,7,Acceptable,25.38588957685998,True,8.579262912919916
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,8,Acceptable,37.5,True,20.693373336059935
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,9,Favorable,12.444029850746269,False,4.362596813193797
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,10,Acceptable,37.5,True,20.693373336059935
