method,n,n_excluded,macro_f1,cohens_kappa
CRISP_CLASS_MAX,30,0,0.7483766233766234,0.6428571428571428
FUZZY_COMPONENT_MAX,30,0,0.6621848739495798,0.5495495495495495
PROPOSED_HFIS,30,0,0.6621848739495798,0.5495495495495495
WEIGHTED_MEAN,30,0,0.2081818181818182,0.08256880733944953
