method,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
CRISP_CLASS_MAX,Acceptable,8,240,78,0.325,0.2689034678894557,0.38661060354052174,8.125,0.0,25.0,25.0,240,59,19,0.24583333333333332,0.07916666666666666,0.19564437467673038,0.3040308243049035,0.05126483412019705,0.12032852812808215
CRISP_CLASS_MAX,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
CRISP_CLASS_MAX,Favourable,21,630,40,0.06349206349206349,0.046970486423778275,0.08530483283579698,1.5873015873015872,0.0,25.0,25.0,630,0,40,0.0,0.06349206349206349,0.0,0.00606082024278621,0.046970486423778275,0.08530483283579698
FUZZY_COMPONENT_MAX,Acceptable,9,270,90,0.3333333333333333,0.2797883166660654,0.39155453263075435,7.511120031579502,8.175696559499102,14.655029341064472,20.082512542035957,270,71,19,0.26296296296296295,0.07037037037037037,0.21403905039381976,0.3185374463838794,0.045509740886431435,0.10728515952314845
FUZZY_COMPONENT_MAX,Degraded,1,30,0,0.0,0.0,0.113517091390478,9.237055564881303e-15,7.105427357601002e-15,2.1316282072803006e-14,3.552713678800501e-14,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
FUZZY_COMPONENT_MAX,Favourable,20,600,22,0.03666666666666667,0.024336714286469472,0.05489201059767235,1.0400053779214529,0.0,6.169875530440301,19.991777869280234,600,0,22,0.0,0.03666666666666667,0.0,0.006361933328210577,0.024336714286469472,0.05489201059767235
PROPOSED_HFIS,Acceptable,9,270,90,0.3333333333333333,0.2797883166660654,0.39155453263075435,7.549181755894923,8.175696559499102,14.299171729370904,20.082512542035957,270,71,19,0.26296296296296295,0.07037037037037037,0.21403905039381976,0.3185374463838794,0.045509740886431435,0.10728515952314845
PROPOSED_HFIS,Degraded,1,30,0,0.0,0.0,0.113517091390478,4.0027240781152313e-14,4.263256414560601e-14,5.684341886080802e-14,6.394884621840902e-14,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
PROPOSED_HFIS,Favourable,20,600,22,0.03666666666666667,0.024336714286469472,0.05489201059767235,1.0400053779214529,0.0,6.169875530440301,19.991777869280234,600,0,22,0.0,0.03666666666666667,0.0,0.006361933328210577,0.024336714286469472,0.05489201059767235
WEIGHTED_MEAN,Acceptable,4,120,44,0.36666666666666664,0.28582798260490794,0.4557774230100067,5.395461286410852,5.613298933563964,12.225503697098418,15.353036256337973,120,36,8,0.3,0.06666666666666667,0.22525501338672319,0.38715309503564865,0.03416489747129058,0.12605267077718166
WEIGHTED_MEAN,Degraded,1,30,0,0.0,0.0,0.113517091390478,2.5041978325417613,0.6310375851775945,9.134440364611915,10.579425972738512,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
WEIGHTED_MEAN,Favourable,25,750,7,0.009333333333333334,0.004528219710066195,0.01913935183281496,1.2985679288349754,0.0,6.372120877096002,10.041256271017978,750,0,7,0.0,0.009333333333333334,4.336808689942018e-19,0.005096030784185961,0.004528219710066195,0.01913935183281496
