method,scenario_activity,class_change_rate,n_trials
CRISP_CLASS_MAX,active,0.3566666666666667,600
CRISP_CLASS_MAX,inactive,0.09333333333333334,300
FUZZY_COMPONENT_MAX,active,0.34833333333333333,600
FUZZY_COMPONENT_MAX,inactive,0.09333333333333334,300
PROPOSED_HFIS,active,0.34833333333333333,600
PROPOSED_HFIS,inactive,0.09333333333333334,300
WEIGHTED_MEAN,active,0.03666666666666667,600
WEIGHTED_MEAN,inactive,0.08333333333333333,300
