sample_id,method,selection_reason,boundary_channel,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
boundary_humidity_2026-07-17T02:35:00+03:00,CRISP-MAX,boundary_adjacent,humidity,Degraded,1,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,6.46566925611869,1.2079666942317822,20.510158606548842,20.694830981142907,30,0,8,0.0,0.26666666666666666,0.0,0.113517091390478,0.14182495553910618,0.4444830204431169
boundary_humidity_2026-07-17T02:35:00+03:00,PROPOSED-HFIS,boundary_adjacent,humidity,Degraded,1,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,6.4312737073646735,1.638989033610546,19.899055758733507,20.694830981142907,30,0,8,0.0,0.26666666666666666,0.0,0.113517091390478,0.14182495553910618,0.4444830204431169
boundary_humidity_2026-07-17T02:35:00+03:00,WEIGHTED-MEAN,boundary_adjacent,humidity,Acceptable,1,30,0,0.0,0.0,0.113517091390478,3.726460978769818,1.968034399404667,9.659221431908422,9.777636048950903,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-22T21:05:00+03:00,CRISP-MAX,boundary_adjacent,humidity,Acceptable,1,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,10.692563066738957,8.591644598653838,26.04335547926849,26.445628276734837,30,7,3,0.23333333333333334,0.1,0.11792239210501232,0.40928672330324267,0.03459925995971615,0.25621441315266624
boundary_humidity_2026-07-22T21:05:00+03:00,PROPOSED-HFIS,boundary_adjacent,humidity,Acceptable,1,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,10.692563066738957,8.591644598653838,26.04335547926849,26.445628276734837,30,7,3,0.23333333333333334,0.1,0.11792239210501232,0.40928672330324267,0.03459925995971615,0.25621441315266624
boundary_humidity_2026-07-22T21:05:00+03:00,WEIGHTED-MEAN,boundary_adjacent,humidity,Favorable,1,30,3,0.1,0.03459925995971615,0.25621441315266624,3.5641876889129858,2.8638815328846112,8.681118493089498,8.815209425578278,30,0,3,0.0,0.1,0.0,0.113517091390478,0.03459925995971615,0.25621441315266624
boundary_humidity_2026-07-28T10:20:00+03:00,CRISP-MAX,boundary_adjacent,humidity,Acceptable,1,30,15,0.5,0.33153851227173764,0.6684614877282624,11.096479023732229,11.9136975835814,20.562392910979142,20.56239291097915,30,2,13,0.06666666666666667,0.43333333333333335,0.01847663532769335,0.21323817721072091,0.2737723743061511,0.6080299045459127
boundary_humidity_2026-07-28T10:20:00+03:00,PROPOSED-HFIS,boundary_adjacent,humidity,Acceptable,1,30,15,0.5,0.33153851227173764,0.6684614877282624,11.096479023732229,11.9136975835814,20.562392910979142,20.56239291097915,30,2,13,0.06666666666666667,0.43333333333333335,0.01847663532769335,0.21323817721072091,0.2737723743061511,0.6080299045459127
boundary_humidity_2026-07-28T10:20:00+03:00,WEIGHTED-MEAN,boundary_adjacent,humidity,Acceptable,1,30,9,0.3,0.16664562643958933,0.4787612101166018,5.525372515121902,5.794075278932233,10.281196455489567,10.281196455489575,30,9,0,0.3,0.0,0.16664562643958933,0.4787612101166018,0.0,0.113517091390478
boundary_temperature_2026-07-16T05:20:00+03:00,CRISP-MAX,boundary_adjacent,temperature,Acceptable,1,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091,4.5458053941099825,2.6431515248062922,12.35769019130842,12.595453884373335,30,0,2,0.0,0.06666666666666667,0.0,0.113517091390478,0.01847663532769335,0.21323817721072091
