lookback_minutes,n_validation_instances,n_scored,rate_hiding_critical,underestimation_rate,ordinal_class_mae,numerical_index_mae
5,2880,2880,0.007954545454545454,0.006944444444444444,0.016666666666666666,0.3826089282879929
10,2880,2880,0.004545454545454545,0.004861111111111111,0.011111111111111112,0.24365078286747482
15,2880,2880,0.003409090909090909,0.004166666666666667,0.009722222222222222,0.2088914331271573
30,2880,2880,0.0011363636363636363,0.002777777777777778,0.00625,0.11679006551228
