masking_case,dataset_split,strategy,true_index_class,predicted_index_class,count
component:A,validation,locf,Favourable,Degraded,0
component:A,validation,locf,Favourable,Critical,0
component:A,validation,locf,Acceptable,Favourable,0
component:A,validation,locf,Acceptable,Acceptable,34
component:A,validation,locf,Acceptable,Degraded,0
component:A,validation,locf,Acceptable,Critical,0
component:A,validation,locf,Degraded,Favourable,0
component:A,validation,locf,Degraded,Acceptable,0
component:A,validation,locf,Degraded,Degraded,68
component:A,validation,locf,Degraded,Critical,0
component:A,validation,locf,Critical,Favourable,0
component:A,validation,locf,Critical,Acceptable,0
component:A,validation,locf,Critical,Degraded,0
component:A,validation,locf,Critical,Critical,220
component:A,validation,mean_imputation,Favourable,Favourable,38
component:A,validation,mean_imputation,Favourable,Acceptable,0
component:A,validation,mean_imputation,Favourable,Degraded,0
component:A,validation,mean_imputation,Favourable,Critical,0
component:A,validation,mean_imputation,Acceptable,Favourable,0
component:A,validation,mean_imputation,Acceptable,Acceptable,34
component:A,validation,mean_imputation,Acceptable,Degraded,0
component:A,validation,mean_imputation,Acceptable,Critical,0
component:A,validation,mean_imputation,Degraded,Favourable,0
component:A,validation,mean_imputation,Degraded,Acceptable,0
component:A,validation,mean_imputation,Degraded,Degraded,68
component:A,validation,mean_imputation,Degraded,Critical,0
component:A,validation,mean_imputation,Critical,Favourable,0
component:A,validation,mean_imputation,Critical,Acceptable,0
component:A,validation,mean_imputation,Critical,Degraded,0
component:A,validation,mean_imputation,Critical,Critical,220
component:A,validation,proposed,Favourable,Favourable,38
component:A,validation,proposed,Favourable,Acceptable,0
component:A,validation,proposed,Favourable,Degraded,0
component:A,validation,proposed,Favourable,Critical,0
component:A,validation,proposed,Acceptable,Favourable,0
component:A,validation,proposed,Acceptable,Acceptable,34
component:A,validation,proposed,Acceptable,Degraded,0
component:A,validation,proposed,Acceptable,Critical,0
component:A,validation,proposed,Degraded,Favourable,0
component:A,validation,proposed,Degraded,Acceptable,0
component:A,validation,proposed,Degraded,Degraded,68
component:A,validation,proposed,Degraded,Critical,0
component:A,validation,proposed,Critical,Favourable,0
component:A,validation,proposed,Critical,Acceptable,0
component:A,validation,proposed,Critical,Degraded,0
component:A,validation,proposed,Critical,Critical,220
component:M,calibration,drop,Favourable,Favourable,0
component:M,calibration,drop,Favourable,Acceptable,0
component:M,calibration,drop,Favourable,Degraded,0
component:M,calibration,drop,Favourable,Critical,0
component:M,calibration,drop,Acceptable,Favourable,0
component:M,calibration,drop,Acceptable,Acceptable,0
component:M,calibration,drop,Acceptable,Degraded,0
component:M,calibration,drop,Acceptable,Critical,0
component:M,calibration,drop,Degraded,Favourable,0
component:M,calibration,drop,Degraded,Acceptable,0
component:M,calibration,drop,Degraded,Degraded,0
component:M,calibration,drop,Degraded,Critical,0
component:M,calibration,drop,Critical,Favourable,0
component:M,calibration,drop,Critical,Acceptable,0
component:M,calibration,drop,Critical,Degraded,0
component:M,calibration,drop,Critical,Critical,0
component:M,calibration,favourable_value,Favourable,Favourable,260
component:M,calibration,favourable_value,Favourable,Acceptable,0
component:M,calibration,favourable_value,Favourable,Degraded,0
component:M,calibration,favourable_value,Favourable,Critical,0
component:M,calibration,favourable_value,Acceptable,Favourable,78
component:M,calibration,favourable_value,Acceptable,Acceptable,26
component:M,calibration,favourable_value,Acceptable,Degraded,0
component:M,calibration,favourable_value,Acceptable,Critical,0
component:M,calibration,favourable_value,Degraded,Favourable,136
component:M,calibration,favourable_value,Degraded,Acceptable,25
component:M,calibration,favourable_value,Degraded,Degraded,12
component:M,calibration,favourable_value,Degraded,Critical,0
component:M,calibration,favourable_value,Critical,Favourable,225
component:M,calibration,favourable_value,Critical,Acceptable,59
component:M,calibration,favourable_value,Critical,Degraded,3
component:M,calibration,favourable_value,Critical,Critical,16
component:M,calibration,locf,Favourable,Favourable,258
component:M,calibration,locf,Favourable,Acceptable,2
component:M,calibration,locf,Favourable,Degraded,0
component:M,calibration,locf,Favourable,Critical,0
component:M,calibration,locf,Acceptable,Favourable,1
component:M,calibration,locf,Acceptable,Acceptable,101
component:M,calibration,locf,Acceptable,Degraded,2
component:M,calibration,locf,Acceptable,Critical,0
component:M,calibration,locf,Degraded,Favourable,2
component:M,calibration,locf,Degraded,Acceptable,6
component:M,calibration,locf,Degraded,Degraded,163
component:M,calibration,locf,Degraded,Critical,2
component:M,calibration,locf,Critical,Favourable,1
component:M,calibration,locf,Critical,Acceptable,1
component:M,calibration,locf,Critical,Degraded,1
component:M,calibration,locf,Critical,Critical,300
component:M,calibration,mean_imputation,Favourable,Favourable,0
component:M,calibration,mean_imputation,Favourable,Acceptable,0
component:M,calibration,mean_imputation,Favourable,Degraded,260
component:M,calibration,mean_imputation,Favourable,Critical,0
component:M,calibration,mean_imputation,Acceptable,Favourable,0
component:M,calibration,mean_imputation,Acceptable,Acceptable,0
component:M,calibration,mean_imputation,Acceptable,Degraded,104
component:M,calibration,mean_imputation,Acceptable,Critical,0
component:M,calibration,mean_imputation,Degraded,Favourable,0
component:M,calibration,mean_imputation,Degraded,Acceptable,0
component:M,calibration,mean_imputation,Degraded,Degraded,173
component:M,calibration,mean_imputation,Degraded,Critical,0
component:M,calibration,mean_imputation,Critical,Favourable,0
component:M,calibration,mean_imputation,Critical,Acceptable,0
component:M,calibration,mean_imputation,Critical,Degraded,287
component:M,calibration,mean_imputation,Critical,Critical,16
component:M,calibration,proposed,Favourable,Favourable,260
component:M,calibration,proposed,Favourable,Acceptable,0
component:M,calibration,proposed,Favourable,Degraded,0
component:M,calibration,proposed,Favourable,Critical,0
component:M,calibration,proposed,Acceptable,Favourable,78
component:M,calibration,proposed,Acceptable,Acceptable,26
component:M,calibration,proposed,Acceptable,Degraded,0
component:M,calibration,proposed,Acceptable,Critical,0
component:M,calibration,proposed,Degraded,Favourable,136
component:M,calibration,proposed,Degraded,Acceptable,25
component:M,calibration,proposed,Degraded,Degraded,12
component:M,calibration,proposed,Degraded,Critical,0
component:M,calibration,proposed,Critical,Favourable,225
component:M,calibration,proposed,Critical,Acceptable,59
component:M,calibration,proposed,Critical,Degraded,3
component:M,calibration,proposed,Critical,Critical,16
component:M,validation,drop,Favourable,Favourable,0
component:M,validation,drop,Favourable,Acceptable,0
component:M,validation,drop,Favourable,Degraded,0
component:M,validation,drop,Favourable,Critical,0
component:M,validation,drop,Acceptable,Favourable,0
component:M,validation,drop,Acceptable,Acceptable,0
component:M,validation,drop,Acceptable,Degraded,0
component:M,validation,drop,Acceptable,Critical,0
component:M,validation,drop,Degraded,Favourable,0
component:M,validation,drop,Degraded,Acceptable,0
component:M,validation,drop,Degraded,Degraded,0
component:M,validation,drop,Degraded,Critical,0
component:M,validation,drop,Critical,Favourable,0
component:M,validation,drop,Critical,Acceptable,0
component:M,validation,drop,Critical,Degraded,0
component:M,validation,drop,Critical,Critical,0
component:M,validation,favourable_value,Favourable,Favourable,38
component:M,validation,favourable_value,Favourable,Acceptable,0
component:M,validation,favourable_value,Favourable,Degraded,0
component:M,validation,favourable_value,Favourable,Critical,0
component:M,validation,favourable_value,Acceptable,Favourable,23
component:M,validation,favourable_value,Acceptable,Acceptable,11
component:M,validation,favourable_value,Acceptable,Degraded,0
component:M,validation,favourable_value,Acceptable,Critical,0
component:M,validation,favourable_value,Degraded,Favourable,51
component:M,validation,favourable_value,Degraded,Acceptable,16
component:M,validation,favourable_value,Degraded,Degraded,1
component:M,validation,favourable_value,Degraded,Critical,0
component:M,validation,favourable_value,Critical,Favourable,118
component:M,validation,favourable_value,Critical,Acceptable,59
component:M,validation,favourable_value,Critical,Degraded,19
component:M,validation,favourable_value,Critical,Critical,24
component:M,validation,locf,Favourable,Favourable,37
component:M,validation,locf,Favourable,Acceptable,1
component:M,validation,locf,Favourable,Degraded,0
component:M,validation,locf,Favourable,Critical,0
component:M,validation,locf,Acceptable,Favourable,2
component:M,validation,locf,Acceptable,Acceptable,30
component:M,validation,locf,Acceptable,Degraded,2
component:M,validation,locf,Acceptable,Critical,0
component:M,validation,locf,Degraded,Favourable,0
component:M,validation,locf,Degraded,Acceptable,1
component:M,validation,locf,Degraded,Degraded,65
component:M,validation,locf,Degraded,Critical,2
component:M,validation,locf,Critical,Favourable,1
component:M,validation,locf,Critical,Acceptable,2
component:M,validation,locf,Critical,Degraded,1
component:M,validation,locf,Critical,Critical,216
component:M,validation,mean_imputation,Favourable,Favourable,0
component:M,validation,mean_imputation,Favourable,Acceptable,0
component:M,validation,mean_imputation,Favourable,Degraded,38
component:M,validation,mean_imputation,Favourable,Critical,0
component:M,validation,mean_imputation,Acceptable,Favourable,0
component:M,validation,mean_imputation,Acceptable,Acceptable,0
component:M,validation,mean_imputation,Acceptable,Degraded,34
component:M,validation,mean_imputation,Acceptable,Critical,0
component:M,validation,mean_imputation,Degraded,Favourable,0
component:M,validation,mean_imputation,Degraded,Acceptable,0
component:M,validation,mean_imputation,Degraded,Degraded,68
component:M,validation,mean_imputation,Degraded,Critical,0
component:M,validation,mean_imputation,Critical,Favourable,0
component:M,validation,mean_imputation,Critical,Acceptable,0
component:M,validation,mean_imputation,Critical,Degraded,196
component:M,validation,mean_imputation,Critical,Critical,24
component:M,validation,proposed,Favourable,Favourable,38
component:M,validation,proposed,Favourable,Acceptable,0
component:M,validation,proposed,Favourable,Degraded,0
component:M,validation,proposed,Favourable,Critical,0
component:M,validation,proposed,Acceptable,Favourable,23
component:M,validation,proposed,Acceptable,Acceptable,11
component:M,validation,proposed,Acceptable,Degraded,0
component:M,validation,proposed,Acceptable,Critical,0
component:M,validation,proposed,Degraded,Favourable,51
component:M,validation,proposed,Degraded,Acceptable,16
component:M,validation,proposed,Degraded,Degraded,1
component:M,validation,proposed,Degraded,Critical,0
component:M,validation,proposed,Critical,Favourable,118
component:M,validation,proposed,Critical,Acceptable,59
component:M,validation,proposed,Critical,Degraded,19
component:M,validation,proposed,Critical,Critical,24
component:V,calibration,drop,Favourable,Favourable,0
component:V,calibration,drop,Favourable,Acceptable,0
component:V,calibration,drop,Favourable,Degraded,0
component:V,calibration,drop,Favourable,Critical,0
component:V,calibration,drop,Acceptable,Favourable,0
component:V,calibration,drop,Acceptable,Acceptable,0
component:V,calibration,drop,Acceptable,Degraded,0
component:V,calibration,drop,Acceptable,Critical,0
component:V,calibration,drop,Degraded,Favourable,0
component:V,calibration,drop,Degraded,Acceptable,0
component:V,calibration,drop,Degraded,Degraded,0
component:V,calibration,drop,Degraded,Critical,0
component:V,calibration,drop,Critical,Favourable,0
component:V,calibration,drop,Critical,Acceptable,0
component:V,calibration,drop,Critical,Degraded,0
component:V,calibration,drop,Critical,Critical,0
component:V,calibration,favourable_value,Favourable,Favourable,260
component:V,calibration,favourable_value,Favourable,Acceptable,0
component:V,calibration,favourable_value,Favourable,Degraded,0
component:V,calibration,favourable_value,Favourable,Critical,0
component:V,calibration,favourable_value,Acceptable,Favourable,9
component:V,calibration,favourable_value,Acceptable,Acceptable,95
component:V,calibration,favourable_value,Acceptable,Degraded,0
component:V,calibration,favourable_value,Acceptable,Critical,0
component:V,calibration,favourable_value,Degraded,Favourable,4
component:V,calibration,favourable_value,Degraded,Acceptable,2
component:V,calibration,favourable_value,Degraded,Degraded,167
component:V,calibration,favourable_value,Degraded,Critical,0
component:V,calibration,favourable_value,Critical,Favourable,0
component:V,calibration,favourable_value,Critical,Acceptable,0
component:V,calibration,favourable_value,Critical,Degraded,0
component:V,calibration,favourable_value,Critical,Critical,303
component:V,calibration,locf,Favourable,Favourable,259
component:V,calibration,locf,Favourable,Acceptable,1
component:V,calibration,locf,Favourable,Degraded,0
component:V,calibration,locf,Favourable,Critical,0
component:V,calibration,locf,Acceptable,Favourable,0
component:V,calibration,locf,Acceptable,Acceptable,104
component:V,calibration,locf,Acceptable,Degraded,0
component:V,calibration,locf,Acceptable,Critical,0
component:V,calibration,locf,Degraded,Favourable,0
component:V,calibration,locf,Degraded,Acceptable,1
component:V,calibration,locf,Degraded,Degraded,172
component:V,calibration,locf,Degraded,Critical,0
component:V,calibration,locf,Critical,Favourable,0
component:V,calibration,locf,Critical,Acceptable,0
component:V,calibration,locf,Critical,Degraded,0
component:V,calibration,locf,Critical,Critical,303
component:V,calibration,mean_imputation,Favourable,Favourable,260
component:V,calibration,mean_imputation,Favourable,Acceptable,0
component:V,calibration,mean_imputation,Favourable,Degraded,0
component:V,calibration,mean_imputation,Favourable,Critical,0
component:V,calibration,mean_imputation,Acceptable,Favourable,9
component:V,calibration,mean_imputation,Acceptable,Acceptable,95
component:V,calibration,mean_imputation,Acceptable,Degraded,0
component:V,calibration,mean_imputation,Acceptable,Critical,0
component:V,calibration,mean_imputation,Degraded,Favourable,4
component:V,calibration,mean_imputation,Degraded,Acceptable,2
component:V,calibration,mean_imputation,Degraded,Degraded,167
component:V,calibration,mean_imputation,Degraded,Critical,0
component:V,calibration,mean_imputation,Critical,Favourable,0
component:V,calibration,mean_imputation,Critical,Acceptable,0
component:V,calibration,mean_imputation,Critical,Degraded,0
component:V,calibration,mean_imputation,Critical,Critical,303
component:V,calibration,proposed,Favourable,Favourable,260
component:V,calibration,proposed,Favourable,Acceptable,0
component:V,calibration,proposed,Favourable,Degraded,0
component:V,calibration,proposed,Favourable,Critical,0
component:V,calibration,proposed,Acceptable,Favourable,9
component:V,calibration,proposed,Acceptable,Acceptable,95
component:V,calibration,proposed,Acceptable,Degraded,0
component:V,calibration,proposed,Acceptable,Critical,0
component:V,calibration,proposed,Degraded,Favourable,4
component:V,calibration,proposed,Degraded,Acceptable,2
component:V,calibration,proposed,Degraded,Degraded,167
component:V,calibration,proposed,Degraded,Critical,0
component:V,calibration,proposed,Critical,Favourable,0
component:V,calibration,proposed,Critical,Acceptable,0
component:V,calibration,proposed,Critical,Degraded,0
component:V,calibration,proposed,Critical,Critical,303
component:V,validation,drop,Favourable,Favourable,0
component:V,validation,drop,Favourable,Acceptable,0
component:V,validation,drop,Favourable,Degraded,0
