n,bias_mean,bias_median,bias_std,mad_of_diff,pearson_r,pearson_p,spearman_rho,spearman_p,pair,label,bias_slope_per_day,bias_trend_p_value,bias_day_to_day_std,n_days_used_for_stability,n_full_days_used_for_lag,lag_median_samples,lag_mean_samples
247975,-1.1596839554468341,-1.1353594970703114,0.1767892316658654,0.09442565917968793,0.9982578787713485,0.0,0.998493927653434,0.0,temperature,"Temperature (SCD41 - BME688), degC",0.0023202152541165703,2.0928838757388869e-07,0.12151776508375238,92,69,-1.0,-1.7536231884057971
247984,6.62116198449689,6.498804931640624,1.3980310702155874,0.6928410644531269,0.9791760842970922,0.0,0.9854096445413951,0.0,humidity,"Relative humidity (SCD41 - BME688), pct",-0.0239527339275257,3.1239540885232917e-15,0.9038623234987245,92,69,-2.0,-2.4057971014492754
