method,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
CRISP_CLASS_MAX,Acceptable,5,150,50,0.3333333333333333,0.2628864565745068,0.41210392314073274,8.333333333333334,0.0,25.0,25.0,150,36,14,0.24,0.09333333333333334,0.17869214008148449,0.3142928522742892,0.056411348659597745,0.15056517784558682
CRISP_CLASS_MAX,Critical,7,210,53,0.2523809523809524,0.19843882344929456,0.31521988467859086,6.309523809523809,0.0,25.0,25.0,210,53,0,0.2523809523809524,0.0,0.19843882344929456,0.31521988467859086,0.0,0.017964699104383804
CRISP_CLASS_MAX,Degraded,9,270,111,0.4111111111111111,0.3540670210225495,0.4706491652690876,10.277777777777779,0.0,25.0,25.0,270,2,109,0.007407407407407408,0.40370370370370373,0.002033691697358238,0.026601840668797967,0.3469265053050396,0.46318269651090077
CRISP_CLASS_MAX,Favourable,9,270,97,0.3592592592592593,0.3043727793847637,0.4180945155769953,8.981481481481481,0.0,25.0,25.0,270,0,97,0.0,0.3592592592592593,8.673617379884035e-19,0.014028547890459302,0.3043727793847637,0.4180945155769953
FUZZY_COMPONENT_MAX,Acceptable,9,270,100,0.37037037037037035,0.31496379968987875,0.4294139719854254,9.28791757572479,10.002827241824136,20.350256202435634,24.799150554831247,270,86,14,0.31851851851851853,0.05185185185185185,0.2658233227315793,0.3763055576138467,0.031134765542600255,0.08514267367773734
FUZZY_COMPONENT_MAX,Critical,3,90,0,0.0,0.0,0.04093706842168078,0.03559616872402119,0.0,0.22855918206860792,0.22855918206860792,90,0,0,0.0,0.0,0.0,0.04093706842168078,0.0,0.04093706842168078
FUZZY_COMPONENT_MAX,Degraded,13,390,178,0.4564102564102564,0.40764000136465617,0.5060308754548569,8.367897097823413,10.624643452784277,13.030898065135215,22.149370913123093,390,2,176,0.005128205128205128,0.4512820512820513,0.0014074377123325967,0.01850310500331755,0.4026083106198877,0.5009061987666269
FUZZY_COMPONENT_MAX,Favourable,5,150,28,0.18666666666666668,0.13242330549709996,0.25655860836755046,4.43285866634936,1.1083650420129256,17.82215840378247,23.130880235186833,150,0,28,0.0,0.18666666666666668,0.0,0.02497113914571871,0.13242330549709996,0.25655860836755046
PROPOSED_HFIS,Acceptable,9,270,100,0.37037037037037035,0.31496379968987875,0.4294139719854254,9.288650047396226,9.991724646270152,20.350256202435634,24.799150554831247,270,86,14,0.31851851851851853,0.05185185185185185,0.2658233227315793,0.3763055576138467,0.031134765542600255,0.08514267367773734
PROPOSED_HFIS,Critical,3,90,0,0.0,0.0,0.04093706842168078,0.055875766695302,0.018132776205554535,0.21773517182249763,0.24216093236684344,90,0,0,0.0,0.0,0.0,0.04093706842168078,0.0,0.04093706842168078
PROPOSED_HFIS,Degraded,13,390,178,0.4564102564102564,0.40764000136465617,0.5060308754548569,8.341762795961355,10.508306043517777,13.030898065135215,22.149370913123093,390,2,176,0.005128205128205128,0.4512820512820513,0.0014074377123325967,0.01850310500331755,0.4026083106198877,0.5009061987666269
PROPOSED_HFIS,Favourable,5,150,28,0.18666666666666668,0.13242330549709996,0.25655860836755046,4.43285866634936,1.1083650420129256,17.82215840378247,23.130880235186833,150,0,28,0.0,0.18666666666666668,0.0,0.02497113914571871,0.13242330549709996,0.25655860836755046
WEIGHTED_MEAN,Acceptable,14,420,2,0.004761904761904762,0.0013068314925680277,0.017194419918336423,2.8421592959624604,3.184351075451522,6.701087896105004,10.826950056269062,420,2,0,0.004761904761904762,0.0,0.0013068314925680277,0.017194419918336423,0.0,0.00906376344370161
WEIGHTED_MEAN,Degraded,2,60,19,0.31666666666666665,0.21305705841174333,0.4423400494301654,4.6978132055856365,5.283493223842932,10.817766368866844,13.782981673698828,60,10,9,0.16666666666666666,0.15,0.09313077201321032,0.28031851497207827,0.08097349242295689,0.26114825891159615
WEIGHTED_MEAN,Favourable,14,420,33,0.07857142857142857,0.0564915762854888,0.10829073861705969,3.056506888087137,2.7742365571995418,7.562952169743873,13.951798863801695,420,0,33,0.0,0.07857142857142857,0.0,0.00906376344370161,0.0564915762854888,0.10829073861705969
