varied_parameter,value,n_eligible,n_evaluated,n_unavailable,n_valid_comparisons,n_samples,n_status_transitions,n_class_transitions,n_agreement,class_agreement_with_reference,mean_abs_index_diff,median_abs_index_diff,p95_abs_index_diff,max_abs_index_diff
coverage_threshold,0.7,50,50,0,45,50,3,2,48,0.96,2.341761301050392,0.0,0.0,75.11194029850745
coverage_threshold,0.8,50,50,0,45,50,0,0,50,1.0,0.0,0.0,0.0,0.0
coverage_threshold,0.9,50,50,0,45,50,1,1,49,0.98,1.2157150841220217,0.0,0.0,54.707178785490974
