method,selection_reason,boundary_channel,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
CRISP_CLASS_MAX,boundary_adjacent,co2,1,30,5,0.16666666666666666,0.07336434240351683,0.33564705185680177,4.166666666666667,0.0,25.0,25.0,30,0,5,0.0,0.16666666666666666,0.0,0.113517091390478,0.07336434240351683,0.33564705185680177
CRISP_CLASS_MAX,boundary_adjacent,humidity,6,180,65,0.3611111111111111,0.29451952434375106,0.4335072117159874,9.027777777777779,0.0,25.0,25.0,180,38,27,0.2111111111111111,0.15,0.15784712930233702,0.2764484817019188,0.10518152965026448,0.20944584522027623
CRISP_CLASS_MAX,boundary_adjacent,temperature,13,390,186,0.47692307692307695,0.4278186693474217,0.5264776772040852,11.923076923076923,0.0,25.0,25.0,390,87,99,0.2230769230769231,0.25384615384615383,0.1845733760507376,0.26698278256734637,0.21319736701300707,0.2992969962030675
CRISP_CLASS_MAX,random_comparison,,10,300,59,0.19666666666666666,0.15564395355751642,0.2453597273077765,4.916666666666667,0.0,25.0,25.0,300,45,14,0.15,0.04666666666666667,0.1140318876347062,0.19481851336370873,0.02799867455083086,0.07679803531378282
FUZZY_COMPONENT_MAX,boundary_adjacent,co2,1,30,5,0.16666666666666666,0.07336434240351683,0.33564705185680177,5.066353893167142,0.4937624686749764,19.208701195392106,22.149370913123093,30,0,5,0.0,0.16666666666666666,0.0,0.113517091390478,0.07336434240351683,0.33564705185680177
FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,6,180,56,0.3111111111111111,0.24802024905224976,0.3820961119889945,7.584193838340328,9.379213296907539,13.61495913044208,20.93709819431439,180,48,8,0.26666666666666666,0.044444444444444446,0.20743199825776976,0.33565291832259075,0.022689821193114634,0.08523787308282728
FUZZY_COMPONENT_MAX,boundary_adjacent,temperature,13,390,184,0.4717948717948718,0.422766239411509,0.5213737397069994,9.138731691008095,10.964940027478043,15.818333600258494,24.799150554831247,390,56,128,0.14358974358974358,0.3282051282051282,0.11225856343458265,0.18187389997202544,0.28347532630249556,0.3762863646920565
FUZZY_COMPONENT_MAX,random_comparison,,10,300,59,0.19666666666666666,0.15564395355751642,0.2453597273077765,4.166705674900764,0.0,16.530315064410544,23.740013765270703,300,45,14,0.15,0.04666666666666667,0.1140318876347062,0.19481851336370873,0.02799867455083086,0.07679803531378282
PROPOSED_HFIS,boundary_adjacent,co2,1,30,5,0.16666666666666666,0.07336434240351683,0.33564705185680177,5.066353893167144,0.4937624686749764,19.208701195392106,22.149370913123093,30,0,5,0.0,0.16666666666666666,0.0,0.113517091390478,0.07336434240351683,0.33564705185680177
PROPOSED_HFIS,boundary_adjacent,humidity,6,180,56,0.3111111111111111,0.24802024905224976,0.3820961119889945,7.576572296169468,9.379213296907539,13.59006098317058,21.90414423051436,180,48,8,0.26666666666666666,0.044444444444444446,0.20743199825776976,0.33565291832259075,0.022689821193114634,0.08523787308282728
PROPOSED_HFIS,boundary_adjacent,temperature,13,390,184,0.4717948717948718,0.422766239411509,0.5213737397069994,9.11424097548433,10.893147491266255,15.818333600258494,24.799150554831247,390,56,128,0.14358974358974358,0.3282051282051282,0.11225856343458265,0.18187389997202544,0.28347532630249556,0.3762863646920565
PROPOSED_HFIS,random_comparison,,10,300,59,0.19666666666666666,0.15564395355751642,0.2453597273077765,4.176491612072182,0.10325442425180853,16.530315064410544,23.740013765270703,300,45,14,0.15,0.04666666666666667,0.1140318876347062,0.19481851336370873,0.02799867455083086,0.07679803531378282
WEIGHTED_MEAN,boundary_adjacent,co2,1,30,0,0.0,0.0,0.113517091390478,4.290456932439809,4.17474409942573,10.181649723648983,10.617366074186798,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
WEIGHTED_MEAN,boundary_adjacent,humidity,6,180,4,0.022222222222222223,0.008674783101630956,0.05573718894386907,3.2244971604555372,3.5031287024971967,7.614412666098161,11.497380794445263,180,0,4,0.0,0.022222222222222223,0.0,0.02089624981505818,0.008674783101630956,0.05573718894386907
WEIGHTED_MEAN,boundary_adjacent,temperature,13,390,27,0.06923076923076923,0.048012233661584136,0.09885290196654656,3.784556629595615,4.079215515850674,7.441162948506868,13.782981673698828,390,10,17,0.02564102564102564,0.04358974358974359,0.01398602212045336,0.04654999032719055,0.027390550253385694,0.06869274820975277
WEIGHTED_MEAN,random_comparison,,10,300,17,0.056666666666666664,0.03567717591318777,0.08886666535147117,1.7029228003172532,0.23197701967717066,5.895420731601349,8.457307037743991,300,17,0,0.056666666666666664,0.0,0.03567717591318777,0.08886666535147117,0.0,0.012643429997735661
