sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
ordinary_2026-07-18T12:15:00+03:00,2026-07-18 12:15:00+03:00,ordinary,OK,Critical,87.55597014925372,0.7,OK,87.55597014925372,Critical
ordinary_2026-07-23T15:35:00+03:00,2026-07-23 15:35:00+03:00,ordinary,OK,Favorable,12.444029850746269,0.7,OK,12.444029850746269,Favorable
ordinary_2026-07-25T15:15:00+03:00,2026-07-25 15:15:00+03:00,ordinary,OK,Favorable,12.444029850746269,0.7,OK,12.444029850746269,Favorable
ordinary_2026-07-27T23:00:00+03:00,2026-07-27 23:00:00+03:00,ordinary,OK,Acceptable,37.5,0.7,OK,37.5,Acceptable
outdoor_context_fresh_2026-07-15T07:40:00+03:00,2026-07-15 07:40:00+03:00,outdoor_context_fresh,OK,Acceptable,38.0478977588598,0.7,OK,38.0478977588598,Acceptable
outdoor_context_fresh_2026-07-16T07:50:00+03:00,2026-07-16 07:50:00+03:00,outdoor_context_fresh,OK,Acceptable,37.499999999999986,0.7,OK,37.499999999999986,Acceptable
outdoor_context_fresh_2026-07-16T20:30:00+03:00,2026-07-16 20:30:00+03:00,outdoor_context_fresh,OK,Critical,87.55597014925372,0.7,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-07-17T00:20:00+03:00,2026-07-17 00:20:00+03:00,outdoor_context_fresh,OK,Critical,82.48405610350949,0.7,OK,82.48405610350949,Critical
outdoor_context_fresh_2026-07-26T13:00:00+03:00,2026-07-26 13:00:00+03:00,outdoor_context_fresh,OK,Favorable,12.444029850746269,0.7,OK,12.444029850746269,Favorable
outdoor_context_stale_2026-07-23T22:20:00+03:00,2026-07-23 22:20:00+03:00,outdoor_context_stale,OK,Favorable,12.444029850746269,0.7,OK,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T01:25:00+03:00,2026-07-25 01:25:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.7,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T02:25:00+03:00,2026-07-25 02:25:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.7,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T03:30:00+03:00,2026-07-25 03:30:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.7,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T19:45:00+03:00,2026-07-25 19:45:00+03:00,outdoor_context_stale,OK,Degraded,62.33619761905545,0.7,OK,62.33619761905545,Degraded
boundary_adjacent_2026-07-15T16:20:00+03:00,2026-07-15 16:20:00+03:00,boundary_adjacent,OK,Critical,77.82094650205757,0.8,OK,77.82094650205757,Critical
boundary_adjacent_2026-07-15T22:20:00+03:00,2026-07-15 22:20:00+03:00,boundary_adjacent,OK,Critical,76.16670781893055,0.8,OK,76.16670781893055,Critical
boundary_adjacent_2026-07-18T03:15:00+03:00,2026-07-18 03:15:00+03:00,boundary_adjacent,OK,Degraded,69.35301456091095,0.8,OK,69.35301456091095,Degraded
boundary_adjacent_2026-07-18T22:00:00+03:00,2026-07-18 22:00:00+03:00,boundary_adjacent,OK,Critical,77.19748971193432,0.8,OK,77.19748971193432,Critical
boundary_adjacent_2026-07-21T03:00:00+03:00,2026-07-21 03:00:00+03:00,boundary_adjacent,OK,Favorable,20.591046993484277,0.8,OK,20.591046993484277,Favorable
class_Acceptable_2026-07-15T12:50:00+03:00,2026-07-15 12:50:00+03:00,class_Acceptable,OK,Acceptable,46.41496090834102,0.8,OK,46.41496090834102,Acceptable
class_Acceptable_2026-07-25T01:00:00+03:00,2026-07-25 01:00:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
class_Acceptable_2026-07-25T10:35:00+03:00,2026-07-25 10:35:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
