method_a,method_b,n_points,mean_abs_diff,median_abs_diff,p95_abs_diff,max_abs_diff,mean_signed_diff,class_agreement_rate,n_class_disagreements
CRISP_CLASS_MAX,WEIGHTED_MEAN,1331,25.25732531930879,24.166666666666664,47.5,60.83333333333333,25.028174305033808,0.19984973703981967,1065
FUZZY_COMPONENT_MAX,CRISP_CLASS_MAX,1331,7.338467317806161,7.5,12.5,12.5,2.2445529676934637,1.0,0
FUZZY_COMPONENT_MAX,WEIGHTED_MEAN,1331,27.272727272727273,26.666666666666664,50.0,66.66666666666666,27.272727272727273,0.19984973703981967,1065
PROPOSED_HFIS,CRISP_CLASS_MAX,1331,0.9063903330646579,0.055970149253724344,12.5,12.5,-0.8511350542371643,1.0,0
PROPOSED_HFIS,FUZZY_COMPONENT_MAX,1331,6.480268071965404,7.5,12.444029850746276,12.689024390243901,-3.0956880219306284,1.0,0
PROPOSED_HFIS,WEIGHTED_MEAN,1331,24.405349241040767,23.977642276422763,47.555970149253724,60.88930348258705,24.177039250796646,0.19984973703981967,1065
