method,severity_threshold,n_critical_events,n_masked,masking_rate
CRISP_CLASS_MAX,Critical,5074,0,0.0
FUZZY_COMPONENT_MAX,Critical,5074,0,0.0
WEIGHTED_MEAN,Critical,5074,4993,0.9840362633031139
