method,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change
CRISP-MAX,30,900,335,0.37222222222222223,0.3412458755681113,0.4042847572330343,8.22185264351049,8.273265234105008,19.4343655437343,26.445628276734837
PROPOSED-HFIS,30,900,335,0.37222222222222223,0.3412458755681113,0.4042847572330343,8.196248019816503,8.192086559922515,19.43436554373431,26.445628276734837
WEIGHTED-MEAN,30,900,76,0.08444444444444445,0.06799734326485098,0.10442401906235325,3.234326615195896,2.9508388505176217,7.821446576592204,13.236236255348286
