computed_ts,window_minutes,component,available,crisp_score,membership_favorable,membership_acceptable,membership_degraded,membership_critical,room,season
2026-06-18 05:10:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 05:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:15:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:20:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:25:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:30:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:35:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:40:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:45:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:45:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:45:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:50:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:50:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:50:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 05:55:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 05:55:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 05:55:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:00:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:00:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:00:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:05:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:10:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:15:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:20:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:25:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:30:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:35:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:40:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:45:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:45:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:45:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:50:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 06:50:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:50:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 06:55:00+03:00,15,A,False,,,,,,kitchen,warm_period
