method,n,n_excluded,macro_f1,cohens_kappa
CRISP-MAX,42,0,0.8688644688644689,0.8073394495412844
PROPOSED-HFIS,42,0,0.8688644688644689,0.8073394495412844
WEIGHTED-MEAN,42,0,0.1527777777777778,-0.04076738609112707
