varied_parameter,value,n_eligible,n_evaluated,n_unavailable,n_valid_comparisons,n_samples,n_status_transitions,n_class_transitions,n_agreement,class_agreement_with_reference,mean_abs_index_diff,median_abs_index_diff,p95_abs_index_diff,max_abs_index_diff
window_minutes,5.0,50,50,0,47,50,3,5,45,0.9,4.922496316816973,7.105427357601002e-15,32.38132525146682,75.11194029850745
window_minutes,15.0,50,50,0,48,50,0,0,50,1.0,0.0,0.0,0.0,0.0
window_minutes,30.0,50,50,0,48,50,3,6,44,0.88,3.89925501250638,0.0,13.857625598248335,75.11194029850745
window_minutes,60.0,50,50,0,47,50,9,15,35,0.7,13.352609918518171,1.116242317364403,75.11194029850745,75.11194029850745
