sample_id,selection_reason,method,n_trials,n_class_changes,class_change_rate,mean_abs_index_change
boundary_temperature_2026-07-21T02:20:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,2.0,0.06666666666666667,4.1532219506989145
boundary_temperature_2026-07-24T08:30:00+03:00,boundary_adjacent,CRISP-MAX,30,16.0,0.5333333333333333,8.927161289182273
boundary_temperature_2026-07-24T08:30:00+03:00,boundary_adjacent,PROPOSED-HFIS,30,16.0,0.5333333333333333,8.927161289182273
boundary_temperature_2026-07-24T08:30:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,0.0,0.0,2.975720429727424
boundary_temperature_2026-07-24T09:05:00+03:00,boundary_adjacent,CRISP-MAX,30,14.0,0.4666666666666667,8.584562588493812
boundary_temperature_2026-07-24T09:05:00+03:00,boundary_adjacent,PROPOSED-HFIS,30,14.0,0.4666666666666667,8.584562588493812
boundary_temperature_2026-07-24T09:05:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,0.0,0.0,2.8615208628312705
boundary_temperature_2026-07-26T08:55:00+03:00,boundary_adjacent,CRISP-MAX,30,3.0,0.1,10.550139915603092
boundary_temperature_2026-07-26T08:55:00+03:00,boundary_adjacent,PROPOSED-HFIS,30,3.0,0.1,10.550139915603092
boundary_temperature_2026-07-26T08:55:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,0.0,0.0,3.5167133052010295
boundary_temperature_2026-07-27T10:25:00+03:00,boundary_adjacent,CRISP-MAX,30,17.0,0.5666666666666667,10.522140777546026
boundary_temperature_2026-07-27T10:25:00+03:00,boundary_adjacent,PROPOSED-HFIS,30,17.0,0.5666666666666667,10.522140777546026
boundary_temperature_2026-07-27T10:25:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,0.0,0.0,3.5073802591820082
boundary_temperature_2026-07-28T05:10:00+03:00,boundary_adjacent,CRISP-MAX,30,3.0,0.1,5.498778459315832
boundary_temperature_2026-07-28T05:10:00+03:00,boundary_adjacent,PROPOSED-HFIS,30,3.0,0.1,5.498778459315832
boundary_temperature_2026-07-28T05:10:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,6.0,0.2,2.749389229657916
boundary_temperature_2026-07-28T09:10:00+03:00,boundary_adjacent,CRISP-MAX,30,11.0,0.36666666666666664,9.474795015669395
boundary_temperature_2026-07-28T09:10:00+03:00,boundary_adjacent,PROPOSED-HFIS,30,11.0,0.36666666666666664,9.474795015669395
boundary_temperature_2026-07-28T09:10:00+03:00,boundary_adjacent,WEIGHTED-MEAN,30,9.0,0.3,4.737397507834697
