pair,window,feature_set,method,n_train,fit_seconds,predict_seconds
temperature,5,a_single_only,logistic_regression,173361,0.8859007358551025,0.04518389701843262
temperature,5,a_single_only,decision_tree,173361,1.996321439743042,0.013608455657958984
temperature,5,a_single_only,random_forest,173361,39.46994948387146,1.054025650024414
temperature,5,b_single_plus_cross,logistic_regression,173361,6.45145845413208,0.27344417572021484
temperature,5,b_single_plus_cross,decision_tree,173361,3.504945993423462,0.02356719970703125
temperature,5,b_single_plus_cross,random_forest,173361,51.3277223110199,1.126617431640625
temperature,5,c_plus_ah,logistic_regression,173361,7.929633855819702,0.36687755584716797
temperature,5,c_plus_ah,decision_tree,173361,5.661708116531372,0.021878719329833984
temperature,5,c_plus_ah,random_forest,173361,59.12059926986694,1.3920221328735352
temperature,5,d_cross_only,logistic_regression,173361,0.3855104446411133,0.10936403274536133
temperature,5,d_cross_only,decision_tree,173361,1.872319221496582,0.019956350326538086
temperature,5,d_cross_only,random_forest,173361,40.82827949523926,2.1585330963134766
temperature,10,a_single_only,logistic_regression,171444,2.369158983230591,0.05289316177368164
temperature,10,a_single_only,decision_tree,171444,2.2612860202789307,0.020136356353759766
temperature,10,a_single_only,random_forest,171444,41.97345232963562,0.8469562530517578
temperature,10,b_single_plus_cross,logistic_regression,171444,5.08763575553894,0.28089427947998047
temperature,10,b_single_plus_cross,decision_tree,171444,3.7862911224365234,0.019335508346557617
temperature,10,b_single_plus_cross,random_forest,171444,45.22997784614563,0.8790402412414551
temperature,10,c_plus_ah,logistic_regression,171444,8.255243301391602,0.35252976417541504
temperature,10,c_plus_ah,decision_tree,171444,5.569339990615845,0.021282196044921875
temperature,10,c_plus_ah,random_forest,171444,46.639119386672974,0.959897518157959
temperature,10,d_cross_only,logistic_regression,171444,0.41692280769348145,0.09582829475402832
temperature,10,d_cross_only,decision_tree,171444,1.7163426876068115,0.014135360717773438
temperature,10,d_cross_only,random_forest,171444,28.067310571670532,1.4195997714996338
temperature,20,a_single_only,logistic_regression,168639,2.192514419555664,0.05225014686584473
temperature,20,a_single_only,decision_tree,168639,2.3346076011657715,0.01458597183227539
temperature,20,a_single_only,random_forest,168639,33.891496896743774,0.7424182891845703
temperature,20,b_single_plus_cross,logistic_regression,168639,3.975881338119507,0.23018693923950195
temperature,20,b_single_plus_cross,decision_tree,168639,3.7025957107543945,0.01836872100830078
