computed_ts,hfis_index_value,hfis_index_class,fcm_index_value,fcm_index_class,signed_diff,abs_diff,class_match
2026-06-19 00:35:00+03:00,32.930659568410206,Acceptable,32.930659568410206,Acceptable,0.0,0.0,True
2026-06-19 00:40:00+03:00,31.736996006400375,Acceptable,31.736996006400375,Acceptable,0.0,0.0,True
2026-06-19 00:45:00+03:00,29.49041504030311,Acceptable,29.49041504030311,Acceptable,0.0,0.0,True
2026-06-19 00:50:00+03:00,26.711948017722747,Acceptable,26.711948017722747,Acceptable,0.0,0.0,True
2026-06-19 00:55:00+03:00,24.2406172839507,Favourable,24.2406172839507,Favourable,0.0,0.0,True
2026-06-19 01:00:00+03:00,21.91970882225155,Favourable,21.91970882225155,Favourable,0.0,0.0,True
2026-06-19 01:05:00+03:00,19.682051696071518,Favourable,19.682051696071518,Favourable,0.0,0.0,True
2026-06-19 01:10:00+03:00,17.49885577294302,Favourable,17.49885577294302,Favourable,0.0,0.0,True
2026-06-19 01:15:00+03:00,15.649902182390392,Favourable,15.649902182390392,Favourable,0.0,0.0,True
2026-06-19 01:20:00+03:00,13.89305889442986,Favourable,13.89305889442986,Favourable,0.0,0.0,True
2026-06-19 01:25:00+03:00,12.444029850746269,Favourable,12.444029850746269,Favourable,0.0,0.0,True
2026-06-19 01:30:00+03:00,13.485769082420525,Favourable,13.485769082420525,Favourable,0.0,0.0,True
2026-06-19 01:35:00+03:00,14.170596385698856,Favourable,14.170596385698856,Favourable,0.0,0.0,True
2026-06-19 01:40:00+03:00,14.095939890516547,Favourable,14.095939890516547,Favourable,0.0,0.0,True
2026-06-19 01:45:00+03:00,13.635277152787124,Favourable,13.635277152787124,Favourable,0.0,0.0,True
2026-06-19 01:50:00+03:00,13.448384104424433,Favourable,13.448384104424433,Favourable,0.0,0.0,True
2026-06-19 01:55:00+03:00,14.058606876231169,Favourable,14.058606876231169,Favourable,0.0,0.0,True
2026-06-19 02:00:00+03:00,15.028233473880627,Favourable,15.028233473880627,Favourable,0.0,0.0,True
2026-06-19 02:05:00+03:00,15.394392735206193,Favourable,15.394392735206193,Favourable,0.0,0.0,True
2026-06-19 02:10:00+03:00,14.835721981231028,Favourable,14.835721981231028,Favourable,0.0,0.0,True
2026-06-19 02:15:00+03:00,13.90301843416066,Favourable,13.90301843416066,Favourable,0.0,0.0,True
2026-06-19 02:20:00+03:00,13.678874079121051,Favourable,13.678874079121051,Favourable,0.0,0.0,True
2026-06-19 02:25:00+03:00,14.344745458198894,Favourable,14.344745458198894,Favourable,0.0,0.0,True
2026-06-19 02:30:00+03:00,15.388189195762173,Favourable,15.388189195762173,Favourable,0.0,0.0,True
