computed_ts,window_minutes,completeness_status,index_value,index_class,dominant_component,n_rules_fired
2026-06-19 00:05:00+03:00,15,FAILED,,,,
2026-06-19 00:10:00+03:00,15,FAILED,,,,
2026-06-19 00:15:00+03:00,15,FAILED,,,,
2026-06-19 00:20:00+03:00,15,FAILED,,,,
2026-06-19 00:25:00+03:00,15,PARTIAL,13.417227523144213,Favorable,V,2
2026-06-19 00:30:00+03:00,15,PARTIAL,13.230241574709225,Favorable,V,2
2026-06-19 00:35:00+03:00,15,OK,32.971599769560136,Acceptable,M,4
2026-06-19 00:40:00+03:00,15,OK,31.736996006400375,Acceptable,M,4
2026-06-19 00:45:00+03:00,15,OK,29.49041504030311,Acceptable,M,2
2026-06-19 00:50:00+03:00,15,OK,26.711948017722747,Acceptable,M,2
2026-06-19 00:55:00+03:00,15,OK,24.2406172839507,Favorable,M,2
2026-06-19 01:00:00+03:00,15,OK,21.91970882225155,Favorable,M,2
2026-06-19 01:05:00+03:00,15,OK,19.682051696071518,Favorable,M,2
2026-06-19 01:10:00+03:00,15,OK,17.49885577294302,Favorable,M,2
2026-06-19 01:15:00+03:00,15,OK,15.649902182390392,Favorable,M,2
2026-06-19 01:20:00+03:00,15,OK,13.89305889442986,Favorable,M,2
2026-06-19 01:25:00+03:00,15,OK,12.444029850746269,Favorable,A;M;V,1
2026-06-19 01:30:00+03:00,15,OK,13.485769082420525,Favorable,V,2
2026-06-19 01:35:00+03:00,15,OK,14.170596385698856,Favorable,V,2
2026-06-19 01:40:00+03:00,15,OK,14.095939890516547,Favorable,V,2
2026-06-19 01:45:00+03:00,15,OK,13.635277152787124,Favorable,V,2
2026-06-19 01:50:00+03:00,15,OK,13.448384104424433,Favorable,V,2
2026-06-19 01:55:00+03:00,15,OK,14.058606876231169,Favorable,V,2
2026-06-19 02:00:00+03:00,15,OK,15.028233473880627,Favorable,V,2
2026-06-19 02:05:00+03:00,15,OK,15.394392735206193,Favorable,V,2
2026-06-19 02:10:00+03:00,15,OK,14.835721981231028,Favorable,V,2
2026-06-19 02:15:00+03:00,15,OK,13.90301843416066,Favorable,V,2
2026-06-19 02:20:00+03:00,15,OK,13.678874079121051,Favorable,V,2
2026-06-19 02:25:00+03:00,15,OK,14.344745458198894,Favorable,V,2
2026-06-19 02:30:00+03:00,15,OK,15.388189195762173,Favorable,V,2
2026-06-19 02:35:00+03:00,15,OK,16.634096307110994,Favorable,V,2
2026-06-19 02:40:00+03:00,15,OK,17.8673709473327,Favorable,V,2
2026-06-19 02:45:00+03:00,15,OK,17.379226275926918,Favorable,V,2
2026-06-19 02:50:00+03:00,15,OK,17.476884665518,Favorable,V,2
2026-06-19 02:55:00+03:00,15,OK,17.489090928375965,Favorable,V,2
2026-06-19 03:00:00+03:00,15,OK,18.50750251418424,Favorable,V,2
2026-06-19 03:05:00+03:00,15,OK,17.720966198716578,Favorable,V,2
2026-06-19 03:10:00+03:00,15,PARTIAL,17.19607707922226,Favorable,V,2
2026-06-19 03:15:00+03:00,15,OK,18.06862340881192,Favorable,V,2
