Method,Class transitions per day,A-B-A reversals per day,Median class dwell time (minutes)
CRISP_CLASS_MAX,5.8474576271186445,0.2372881355932203,57.5
FUZZY_COMPONENT_MAX,5.8474576271186445,0.2203389830508474,60.0
PROPOSED_HFIS,5.8474576271186445,0.2203389830508474,60.0
WEIGHTED_MEAN,3.9322033898305087,0.2542372881355932,50.0
