Grid subset,Number of points,Class agreement rate,Mean absolute difference,Maximum absolute difference
All grid points,1030301,0.9834019378802894,6.074992340674607,12.6890243902439
Any component = 25,30301,0.985149004983334,5.617925871448998,12.6890243902439
Any component = 50,30301,0.985149004983334,4.536531927314032,12.6890243902439
Any component = 75,30301,0.4356291871555394,2.8578715033618147,12.6890243902439
No component at a class boundary,941192,1.0,6.235324928695562,12.444029850746276
Maximum component = 75 (exact),17101,0.0,0.1882716049382771,0.1882716049382651
"Maximum component in [74, 75)",16651,1.0,11.5,11.5
"Maximum component in (75, 76]",17557,1.0,11.537131929266948,11.555970149253724
