a,v,m,hfis_index_value,hfis_index_class,fuzzy_component_max_index_value,fuzzy_component_max_index_class,abs_diff,max_component
71.74006696801986,75.00457600962432,54.22636954492778,74.86878728050073,Degraded,75.00457600962432,Critical,0.13578872912358975,75.00457600962432
62.82344620393755,8.450787954539518,75.00996874348277,74.93603001132841,Degraded,75.00996874348277,Critical,0.07393873215436031,75.00996874348277
75.012829269172,44.98727881094946,29.631909152006752,74.97169829461384,Degraded,75.012829269172,Critical,0.04113097455815762,75.012829269172
21.309397389863094,15.415485200044454,24.98636242482354,25.018222828046607,Acceptable,24.98636242482354,Favourable,0.03186040322306738,24.98636242482354
75.01458273305052,74.77547009909917,31.22134659780105,74.99356247383979,Degraded,75.01458273305052,Critical,0.021020259210729364,75.01458273305052
53.11889160536249,75.00405686830233,33.37747420394977,74.86231403685619,Degraded,75.00405686830233,Critical,0.14174283144613753,75.00405686830233
75.00663880073996,1.6160249793094716,56.05966642645844,74.89450850305387,Degraded,75.00663880073996,Critical,0.11213029768609317,75.00663880073996
8.951512260738891,13.739531228749179,75.01266089075664,74.96959876128643,Degraded,75.01266089075664,Critical,0.043062129470200716,75.01266089075664
75.0137444421256,11.796213770011633,38.96131105549886,74.983109710455,Degraded,75.0137444421256,Critical,0.030634731670602378,75.0137444421256
11.241135620273612,75.0008034575754,57.99430112435924,74.82174681668093,Degraded,75.0008034575754,Critical,0.1790566408944727,75.0008034575754
75.00038389744438,63.701084407927574,13.960451384018768,74.81651526442992,Degraded,75.00038389744438,Critical,0.18386863301445544,75.00038389744438
25.67098020127959,61.07536687440439,75.01256169890178,74.9683619245777,Degraded,75.01256169890178,Critical,0.04419977432407052,75.01256169890178
75.0083702373155,56.851334891762384,1.130795141156471,74.91609802084763,Degraded,75.0083702373155,Critical,0.09227221646787598,75.0083702373155
39.85342260797429,21.58820702473283,75.0043336456866,74.86576521164773,Degraded,75.0043336456866,Critical,0.13856843403887353,75.0043336456866
75.00865594615546,55.74336127230778,55.57104551850469,74.91966056317298,Degraded,75.00865594615546,Critical,0.08899538298247478,75.00865594615546
62.73031484689764,0.20937864681980223,75.01144358418725,74.95442000035952,Degraded,75.01144358418725,Critical,0.05702358382772843,75.01144358418725
30.875582120922928,75.00114078468577,6.582652074014817,74.82595299423002,Degraded,75.00114078468577,Critical,0.17518779045575172,75.00114078468577
75.00635207506396,63.316895553924724,69.0422430307979,74.8909332816617,Degraded,75.00635207506396,Critical,0.11541879340225591,75.00635207506396
29.22525388512224,75.00662348715747,32.445487236949546,74.89431755591413,Degraded,75.00662348715747,Critical,0.1123059312433412,75.00662348715747
28.551901492552933,75.0149659077922,30.760598160756313,74.99834033172992,Degraded,75.0149659077922,Critical,0.016625576062281766,75.0149659077922
72.25628193555869,7.286280760399433,75.00028590347682,74.8152933643406,Degraded,75.00028590347682,Critical,0.18499253913621772,75.00028590347682
46.551311880620304,26.11807126343484,75.01484810009516,74.99687137155699,Degraded,75.01484810009516,Critical,0.017976728538172893,75.01484810009516
75.00654840152919,8.562700411660973,49.623702414315154,74.89338130301824,Degraded,75.00654840152919,Critical,0.11316709851094231,75.00654840152919
45.421566801947385,75.01024549102803,24.507155710178562,74.93948081405321,Degraded,75.01024549102803,Critical,0.07076467697481803,75.01024549102803
75.01234969053912,34.81613072189932,70.97402940366068,74.96571836351254,Degraded,75.01234969053912,Critical,0.046631327026588565,75.01234969053912
9.586020398096895,28.846207125004298,75.00119538638477,74.8266338302298,Degraded,75.00119538638477,Critical,0.17456155615496982,75.00119538638477
51.278054145836336,75.01120175174141,22.16962286102129,74.95140455875092,Degraded,75.01120175174141,Critical,0.05979719299048725,75.01120175174141
0.2576794058952503,75.00925689985684,55.688401352560476,74.92715393648648,Degraded,75.00925689985684,Critical,0.08210296337036027,75.00925689985684
52.51716518774621,5.297524476562431,75.00700664543344,74.89909520849098,Degraded,75.00700664543344,Critical,0.10791143694245875,75.00700664543344
12.507595078874312,46.99289154746595,75.0068278751319,74.89686609732375,Degraded,75.0068278751319,Critical,0.1099617778081523,75.0068278751319
75.00950819298693,4.166279096910907,71.1098155383811,74.93028734465182,Degraded,75.00950819298693,Critical,0.07922084833511178,75.00950819298693
75.00583582264046,50.557184734473225,45.82286392657634,74.8844960600848,Degraded,75.00583582264046,Critical,0.12133976255566381,75.00583582264046
67.89558321828316,75.01259890870254,11.147207011937487,74.96882589863665,Degraded,75.01259890870254,Critical,0.04377301006589107,75.01259890870254
75.01143853105225,69.06413393928436,46.009402213479625,74.95435699213299,Degraded,75.01143853105225,Critical,0.05708153891926315,75.01143853105225
75.01228503745588,24.322896067115096,21.76003311182636,74.96491219543755,Degraded,75.01228503745588,Critical,0.04737284201833347,75.01228503745588
73.04158499077782,75.01386508765813,45.53815614883794,74.98461405598412,Degraded,75.01386508765813,Critical,0.029251031674007777,75.01386508765813
6.285513695045819,7.0874998026101865,75.00411948717152,74.86309484003996,Degraded,75.00411948717152,Critical,0.14102464713155882,75.00411948717152
7.305925322254558,5.376049783823122,24.99119294668062,25.078455261079338,Acceptable,24.99119294668062,Favourable,0.08726231439871768,24.99119294668062
