bucket,n_points,n_class_agree,n_disagreements,class_agreement_rate,mean_abs_diff,median_abs_diff,min_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff
all_grid_points,1030301,1013200,17101,0.9834019378802894,6.074992340674607,6.444029850746276,0.0,11.5,12.444029850746276,12.689024390243901
any_component_equals_25,30301,29851,450,0.9851490049833339,5.617925871448998,5.5,0.0,11.5,12.689024390243901,12.689024390243901
any_component_equals_50,30301,29851,450,0.9851490049833339,4.536531927314032,3.689024390243901,0.0,11.5,12.689024390243901,12.689024390243901
any_component_equals_75,30301,13200,17101,0.43562918715553944,2.8578715033618147,0.1882716049382651,0.1882716049382651,11.310975609756099,12.689024390243901,12.689024390243901
no_component_at_a_boundary,941192,941192,0,1.0,6.235324928695562,6.444029850746276,0.44402985074626855,11.5,12.444029850746276,12.444029850746276
max_component_equals_75,17101,0,17101,0.0,0.1882716049382771,0.1882716049382651,0.1882716049382651,0.1882716049382651,0.1882716049382651,0.1882716049382651
max_component_immediately_below_75,16651,16651,0,1.0,11.5,11.5,11.5,11.5,11.5,11.5
max_component_immediately_above_75,17557,17557,0,1.0,11.537131929266948,11.555970149253724,11.310975609756099,11.555970149253724,11.555970149253724,11.555970149253724
