sample_id,method,n_trials,n_transitions,flapping_rate
boundary_temperature_2026-07-15T21:10:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_temperature_2026-07-18T22:20:00+03:00,CRISP_CLASS_MAX,30,13,0.4482758620689655
boundary_temperature_2026-07-18T22:20:00+03:00,FUZZY_COMPONENT_MAX,30,13,0.4482758620689655
boundary_temperature_2026-07-18T22:20:00+03:00,PROPOSED_HFIS,30,13,0.4482758620689655
boundary_temperature_2026-07-18T22:20:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_temperature_2026-07-21T02:20:00+03:00,CRISP_CLASS_MAX,30,9,0.3103448275862069
boundary_temperature_2026-07-21T02:20:00+03:00,FUZZY_COMPONENT_MAX,30,9,0.3103448275862069
boundary_temperature_2026-07-21T02:20:00+03:00,PROPOSED_HFIS,30,9,0.3103448275862069
boundary_temperature_2026-07-21T02:20:00+03:00,WEIGHTED_MEAN,30,4,0.13793103448275862
boundary_temperature_2026-07-27T10:25:00+03:00,CRISP_CLASS_MAX,30,20,0.6896551724137931
boundary_temperature_2026-07-27T10:25:00+03:00,FUZZY_COMPONENT_MAX,30,20,0.6896551724137931
boundary_temperature_2026-07-27T10:25:00+03:00,PROPOSED_HFIS,30,20,0.6896551724137931
boundary_temperature_2026-07-27T10:25:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_temperature_2026-07-31T15:25:00+03:00,CRISP_CLASS_MAX,30,13,0.4482758620689655
boundary_temperature_2026-07-31T15:25:00+03:00,FUZZY_COMPONENT_MAX,30,13,0.4482758620689655
boundary_temperature_2026-07-31T15:25:00+03:00,PROPOSED_HFIS,30,13,0.4482758620689655
boundary_temperature_2026-07-31T15:25:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_temperature_2026-08-10T11:00:00+03:00,CRISP_CLASS_MAX,30,16,0.5517241379310345
boundary_temperature_2026-08-10T11:00:00+03:00,FUZZY_COMPONENT_MAX,30,16,0.5517241379310345
boundary_temperature_2026-08-10T11:00:00+03:00,PROPOSED_HFIS,30,16,0.5517241379310345
boundary_temperature_2026-08-10T11:00:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_temperature_2026-08-15T11:00:00+03:00,CRISP_CLASS_MAX,30,17,0.5862068965517241
boundary_temperature_2026-08-15T11:00:00+03:00,FUZZY_COMPONENT_MAX,30,17,0.5862068965517241
boundary_temperature_2026-08-15T11:00:00+03:00,PROPOSED_HFIS,30,17,0.5862068965517241
boundary_temperature_2026-08-15T11:00:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-06-24T21:35:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-06-24T21:35:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-06-24T21:35:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-06-24T21:35:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-06-27T21:15:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-06-27T21:15:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-06-27T21:15:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-06-27T21:15:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-07-02T14:00:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-07-02T14:00:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-07-02T14:00:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-07-02T14:00:00+03:00,WEIGHTED_MEAN,30,15,0.5172413793103449
random_2026-07-02T21:05:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-07-02T21:05:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-07-02T21:05:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-07-02T21:05:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-07-21T06:00:00+03:00,CRISP_CLASS_MAX,30,4,0.13793103448275862
random_2026-07-21T06:00:00+03:00,FUZZY_COMPONENT_MAX,30,4,0.13793103448275862
random_2026-07-21T06:00:00+03:00,PROPOSED_HFIS,30,4,0.13793103448275862
random_2026-07-21T06:00:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-07-22T16:45:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-07-22T16:45:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-07-22T16:45:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-07-22T16:45:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-07-23T07:40:00+03:00,CRISP_CLASS_MAX,30,15,0.5172413793103449
random_2026-07-23T07:40:00+03:00,FUZZY_COMPONENT_MAX,30,15,0.5172413793103449
random_2026-07-23T07:40:00+03:00,PROPOSED_HFIS,30,15,0.5172413793103449
random_2026-07-23T07:40:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-07-29T13:55:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-07-29T13:55:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-07-29T13:55:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-07-29T13:55:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-08-03T05:10:00+03:00,CRISP_CLASS_MAX,30,0,0.0
random_2026-08-03T05:10:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
random_2026-08-03T05:10:00+03:00,PROPOSED_HFIS,30,0,0.0
random_2026-08-03T05:10:00+03:00,WEIGHTED_MEAN,30,0,0.0
random_2026-08-13T11:45:00+03:00,CRISP_CLASS_MAX,30,20,0.6896551724137931
random_2026-08-13T11:45:00+03:00,FUZZY_COMPONENT_MAX,30,20,0.6896551724137931
random_2026-08-13T11:45:00+03:00,PROPOSED_HFIS,30,20,0.6896551724137931
random_2026-08-13T11:45:00+03:00,WEIGHTED_MEAN,30,20,0.6896551724137931
