method,mean,median,std,count
CRISP_CLASS_MAX,0.28620689655172415,0.3275862068965517,0.2522846527731072,30
FUZZY_COMPONENT_MAX,0.2839080459770115,0.3275862068965517,0.2504141198138292,30
PROPOSED_HFIS,0.2839080459770115,0.3275862068965517,0.2504141198138292,30
WEIGHTED_MEAN,0.08275862068965517,0.0,0.1794292114928302,30
